date,max_wind_ms,mean_wind_ms,max_gust_ms
1985-01-01,10.975895127769855,10.179811725778658,15.157806
1985-01-02,10.659819561992032,10.023379521204085,14.236787
1985-01-03,10.643230148540258,9.717936480158073,14.280316
1985-01-04,9.447020732121366,8.213787772879098,12.966755
1985-01-05,6.931456297950847,6.492640541426821,9.752116
1985-01-06,7.791810447657192,6.573245053891452,10.494763
1985-01-07,8.24716722796632,7.0983819237719,11.1649065
1985-01-08,6.818466923194411,5.4068540562085365,9.331413
1985-01-09,7.836374227679734,6.80107423326288,10.455352
1985-01-10,8.387555726383171,7.551262153145481,11.8103895
1985-01-11,7.755773476556592,6.301139933238984,10.270582
1985-01-12,5.084085983733076,4.00582996208999,7.247012
1985-01-13,5.104778500018116,3.8691956827643783,7.0742517
1985-01-14,8.171626020458673,5.729450900411132,10.611546
1985-01-15,8.357714405768997,6.360256085818888,11.190141
1985-01-16,6.409944132461526,5.735255231716105,8.368956
1985-01-17,7.780671604641096,6.752476100507114,10.926467
1985-01-18,5.7529729124434335,5.111516457831841,8.854518
1985-01-19,6.89109285186439,5.345491048539728,9.036661
1985-01-20,7.958220964519957,6.439048840464279,11.29633
1985-01-21,6.7254096415754665,5.722018757414527,8.988368
1985-01-22,5.555309195365798,5.147270934201483,7.61164
1985-01-23,6.335750361830167,5.2953501165788035,8.902314
1985-01-24,7.139761989752858,6.4662510308898495,9.989938
1985-01-25,8.934208083590846,7.651368930454464,11.802203
1985-01-26,8.90566854124203,6.178915036664796,11.919084
1985-01-27,7.279906033509707,5.239004968087868,10.0908165
1985-01-28,7.646862777188863,6.5786901063485095,10.46961
1985-01-29,7.651991178776623,6.7926790212865615,10.357227
1985-01-30,7.025979647806632,5.949723000106335,9.252852
1985-01-31,8.600123104784098,7.8658538084525915,12.183859
1985-02-01,9.768622606923302,9.113076990885538,13.527158
1985-02-02,10.690496764232615,9.86165569840368,14.240291
1985-02-03,10.945545519696724,9.936865483696451,14.640933
1985-02-04,10.374009792201726,9.57820466241115,13.747326
1985-02-05,10.77322166503649,9.819898679866002,14.313404
1985-02-06,9.194049879855493,8.262879309472703,12.584334
1985-02-07,7.485427473301592,6.590559702594637,10.03729
1985-02-08,7.858912150937456,5.723369438768245,10.35749
1985-02-09,4.066156556397842,3.2491213879338585,6.0378103
1985-02-10,5.806872398841127,4.365384292211295,8.089597
1985-02-11,6.38409744981576,5.9823570719498065,9.1987705
1985-02-12,6.991481164836636,6.531460176659194,10.389708
1985-02-13,7.1158164627974,6.763420367749542,10.184022
1985-02-14,8.888082759077237,7.986433710591228,12.31651
1985-02-15,10.104773519091184,8.947193369745118,13.102622
1985-02-16,9.136043212426372,8.131216444912628,12.594533
1985-02-17,9.573183341014527,8.82737732431316,13.626734
1985-02-18,10.344999382177669,9.693691175919728,15.016877
1985-02-19,11.047973719483375,9.97373556554458,15.063877
1985-02-20,10.7015789413318,10.145240851671275,14.539411
1985-02-21,9.353863433620614,8.460524775883375,12.716268
1985-02-22,9.402822614870972,8.59381436300476,12.4471245
1985-02-23,9.090837985195092,8.688319671101613,12.893591
1985-02-24,9.520524325101825,8.865818917891387,13.11156
1985-02-25,10.039965422451862,8.715368721858622,13.547852
1985-02-26,9.148299980062301,8.316618825010906,12.848935
1985-02-27,10.063578804785873,9.327609325004714,13.872298
1985-02-28,9.236450418368754,8.02595355816963,12.352941
1985-03-01,8.008761472836733,7.4475820570920375,10.971514
1985-03-02,8.13331567015277,7.356094983051329,11.146096
1985-03-03,8.64501433768276,7.360609945548761,11.508754
1985-03-04,5.97222877225178,5.567177807499965,8.636617
1985-03-05,9.608897348480458,7.245556536746299,12.004914
1985-03-06,9.223343621225267,8.165755194877782,12.876473
1985-03-07,9.203452849494925,8.147643223610634,12.3846655
1985-03-08,9.192230183498344,8.345916343097214,12.062457
1985-03-09,8.701574902824524,7.65695601640698,12.094384
1985-03-10,8.151563841144217,7.540048758446461,11.241825
1985-03-11,7.7441694681113615,7.2000858479081264,10.425053
1985-03-12,8.174305003584374,7.0347869677616535,11.187265
1985-03-13,8.312997953432504,7.270689835911224,11.0657015
1985-03-14,8.821963659353681,8.024121932540877,12.017195
1985-03-15,8.937680031509252,7.933287895307269,12.858164
1985-03-16,8.036590774799157,7.648413719424126,11.342113
1985-03-17,9.336071260828277,8.77650390083277,13.002209
1985-03-18,8.903819911448064,7.089435871584892,12.315292
1985-03-19,7.503290259547541,5.193247517251258,9.815908
1985-03-20,5.6402023871562355,4.860665728604061,8.436383
1985-03-21,6.281024055499196,5.839001292754758,8.782257
1985-03-22,6.778477859755706,6.190307530430909,9.343962
1985-03-23,6.90318386177361,6.1249662023449005,9.723227
1985-03-24,5.698059487723474,5.171978670288179,7.651455
1985-03-25,6.667545284389399,5.336305091352499,9.105274
1985-03-26,4.844243095694774,3.878497768371803,7.0552926
1985-03-27,10.353865896989344,8.159472863809674,14.52383
1985-03-28,12.04165425012577,11.158585436066916,15.93881
1985-03-29,10.60739377642336,9.20506020749084,14.026451
1985-03-30,9.675660429308397,8.737716611132706,12.88407
1985-03-31,9.2953366573966,8.883735416877197,12.997587
1985-04-01,8.679393935362961,6.938362361999099,12.36542
1985-04-02,7.878494917845906,6.836998992221231,10.713581
1985-04-03,8.00642546779674,5.931961419203342,10.945236
1985-04-04,4.4868903589608085,3.2760321753171087,6.4652953
1985-04-05,8.488235149806801,7.433518530517127,11.678544
1985-04-06,9.964629180170279,8.692587175048372,13.320974
1985-04-07,9.166778162747027,8.572113370380666,12.8353
1985-04-08,9.09930842168129,7.702646171050903,13.667316
1985-04-09,7.853123043093455,6.8634216363684954,11.033889
1985-04-10,8.03872300353794,7.586852319691905,11.812093
1985-04-11,9.222105997065304,8.025892641004907,12.221227
1985-04-12,9.937548655807822,9.152485843525834,13.534144
1985-04-13,9.232084803822602,8.855800182370983,13.161165
1985-04-14,8.860699562252139,8.275814643851161,12.704517
1985-04-15,9.477600837790272,8.561232896406151,13.019706
1985-04-16,9.233438294371336,8.426035095826993,12.883002
1985-04-17,8.53105099632814,7.987864022299975,11.575097
1985-04-18,8.640597171701156,7.401551732077588,11.616683
1985-04-19,9.246419182043189,8.280220896266206,11.588113
1985-04-20,9.157247403537246,7.969015072457561,12.1721115
1985-04-21,8.18496694021734,6.280807818908925,11.494032
1985-04-22,4.841634595670815,3.8635693180015744,7.8136373
1985-04-23,4.140687738586394,2.89311826337907,7.2375593
1985-04-24,4.5044017711415085,2.91715967967294,7.605284
1985-04-25,4.4882709506890865,3.8594931780702315,5.885162
1985-04-26,5.963739610141318,4.967251605333978,8.021927
1985-04-27,5.406635297989406,4.329274303550122,8.192779
1985-04-28,6.071001994448515,4.411481036029276,8.901918
1985-04-29,5.113326079763537,4.407812730191611,8.010907
1985-04-30,5.524961009430035,4.720519600439868,7.5789595
1985-05-01,6.570595907279379,5.272696435771224,9.169022
1985-05-02,5.899470737676691,4.49407133549579,7.8839045
1985-05-03,5.992050966037767,5.2669839887746,9.044637
1985-05-04,8.057905955301676,7.1487613704697965,10.526387
1985-05-05,8.230577111829712,7.4576051199000455,10.955879
1985-05-06,7.202789071614692,6.702301923756147,10.142328
1985-05-07,7.082852777401842,6.537179109469508,9.716084
1985-05-08,7.657471314499618,7.013126365736533,10.929456
1985-05-09,8.958529233552529,8.108451707626404,12.533905
1985-05-10,9.690730269918712,9.035510707182908,13.278597
1985-05-11,10.27096757724394,9.132818706090488,13.59217
1985-05-12,9.684259046730263,9.028893694034704,13.451449
1985-05-13,9.435014331660723,8.892454734015699,13.524955
1985-05-14,8.675990710343761,7.855201826474746,12.571837
1985-05-15,7.922333162196946,7.087078267156297,10.929895
1985-05-16,7.4921054324148,6.374823246554171,10.200534
1985-05-17,7.237925469377491,6.222488159605174,9.99954
1985-05-18,6.050804633594151,5.356888219126318,8.699676
1985-05-19,6.696439252277868,5.344360257913487,9.651919
1985-05-20,8.573828321715661,7.684900486604722,11.379016
1985-05-21,9.359633369861664,8.697379359218282,12.818916
1985-05-22,8.626035271499676,7.89985019907772,11.395559
1985-05-23,8.176483264579396,7.165036413967655,11.315468
1985-05-24,8.087922960787552,7.153317773092254,10.595271
1985-05-25,7.98682339186624,7.27317659532843,11.323262
1985-05-26,7.922552143463238,7.125078228691516,10.535338
1985-05-27,8.574576422545293,7.732534985824198,11.317181
1985-05-28,8.293928360012766,7.599045554457896,11.099767
1985-05-29,7.925528845833923,7.283908130276923,11.600067
1985-05-30,8.330551112510458,7.876758933459417,11.257452
1985-05-31,8.21964606946217,7.591199004501701,10.993179
1985-06-01,8.413491657678005,7.655789237663996,11.309839
1985-06-02,6.25486440300931,4.733088443850962,8.673576
1985-06-03,5.275816670524829,3.9714517076712785,7.7232494
1985-06-04,4.270295492490969,3.3607311617924913,5.988472
1985-06-05,6.466995015408585,5.0439425971790275,8.348574
1985-06-06,6.850072494386399,5.5993904333767235,9.028455
1985-06-07,7.6313966775608435,6.397108065290856,9.394993
1985-06-08,7.324445742875121,6.0798171480133645,9.785287
1985-06-09,7.689150010611305,7.134826808719466,10.360703000000001
1985-06-10,7.689140538092413,6.931737733432734,10.9816265
1985-06-11,9.164054265465053,7.67330020808133,12.4298725
1985-06-12,10.280979456715546,9.2188282460117,13.4809675
1985-06-13,9.537600185952998,8.642343668424937,12.816776
1985-06-14,8.964153180226491,8.48820391610157,12.178257
1985-06-15,7.951905281068474,7.3606152919184575,11.19843
1985-06-16,8.35955884081961,7.478905766609843,11.624245
1985-06-17,8.269284402371817,7.109268886631277,11.198065
1985-06-18,7.328036537601811,6.486712577621017,10.083457
1985-06-19,7.436882218861928,6.933232552934011,10.340634
1985-06-20,9.762024370719246,8.1787772355374,13.591746
1985-06-21,9.681095014669351,8.170075677675186,12.756467
1985-06-22,7.713151052718966,6.497501413188195,10.086599
1985-06-23,6.0441126337262014,5.5354816208649105,8.567514
1985-06-24,6.275347244182017,5.462733427661179,8.378376
1985-06-25,6.2461034727426705,5.291489327116492,8.84503
1985-06-26,6.184266457920108,5.320724686858178,8.8369255
1985-06-27,8.185233715495768,7.5048775786385775,11.66911
1985-06-28,9.717158642690212,8.544786842328913,13.420306
1985-06-29,8.638840107380622,7.458560646734991,12.531162
1985-06-30,9.187060788404535,8.307258507911476,12.508852
1985-07-01,10.559377657813984,9.08444958302344,13.913444
1985-07-02,8.05261642012398,6.940242944547688,11.990118
