date,year,month,weekday,n_trips,n_csl_trips,all_all,csl_all,max_wind_ms,max_wind_kt,max_gust_ms,max_gust_kt,max_swh_m,population,csl_trips_per_1k,all_trips_per_1k,csl_lbs_per_1k,all_lbs_per_1k,is_sunday,wind_ok,wave_ok,fdi,fdi_rolling
1985-01-01,1985,1,Tuesday,13.0,0.0,438.0,0.0,10.975895127769855,21.33543326693328,15.157806,29.464417673588944,2.061214,100760,0.0,0.12901945216355698,0.0,4.3469630805875346,0,0,0,0,
1985-01-02,1985,1,Wednesday,16.0,0.0,625.0,0.0,10.659819561992032,20.721031519972424,14.236787,27.674099965253628,1.997108,100760,0.0,0.15879317189360856,0.0,6.2028582770940845,0,0,0,0,
1985-01-03,1985,1,Thursday,16.0,0.0,565.0,0.0,10.643230148540258,20.68878428004186,14.280316,27.758713572058838,2.1037693,100760,0.0,0.15879317189360856,0.0,5.607383882493053,0,0,0,0,
1985-01-04,1985,1,Friday,19.0,0.0,894.0,0.0,9.447020732121366,18.363539197049885,12.966755,25.20535525992995,1.7519977,100760,0.0,0.1885668916236602,0.0,8.87256847955538,0,0,0,0,
1985-01-05,1985,1,Saturday,27.0,0.0,1014.0,0.0,6.931456297950847,13.473673132447553,9.752116,18.95659695244084,1.4008647,100760,0.0,0.26796347757046446,0.0,10.063517268757442,0,1,1,1,
1985-01-06,1985,1,Sunday,17.0,0.0,548.0,0.0,7.791810447657192,15.146067805802867,10.494763,20.400187231405873,1.1878119,100760,0.0,0.1687177451369591,0.0,5.438666137356093,1,1,1,1,
1985-01-07,1985,1,Monday,16.0,0.0,592.0,0.0,8.24716722796632,16.031210574190908,11.1649065,21.702841981390186,1.2782694,100760,0.0,0.15879317189360856,0.0,5.875347360063517,0,1,1,1,
1985-01-08,1985,1,Tuesday,20.0,0.0,691.0,0.0,6.818466923194411,13.254039358898709,9.331413,18.13881574396437,1.0804988,100760,0.0,0.19849146486701072,0.0,6.857880111155221,0,1,1,1,
1985-01-09,1985,1,Wednesday,19.0,0.0,805.0,0.0,7.836374227679734,15.232692864053256,10.455352,20.32357837621048,1.1602216,100760,0.0,0.1885668916236602,0.0,7.989281460897181,0,1,1,1,
1985-01-10,1985,1,Thursday,12.0,0.0,315.0,0.0,8.387555726383171,16.304103983297875,11.8103895,22.957560554328854,1.3174592,100760,0.0,0.11909487892020643,0.0,3.126240571655419,0,1,1,1,
1985-01-11,1985,1,Friday,21.0,0.0,1239.0,0.0,7.755773476556592,15.076017538092676,10.270582,19.964414229793178,1.2950203,100760,0.0,0.20841603811036125,0.0,12.296546248511314,0,1,1,1,
